'C080686 A C2-C3', , 'C080686 A C4-C5', , 'C080686 B C2-C3', , 'C090033 A C3-C4', , 'C090033 A C5-C6', , 'C090033 A C7-T1', , 'C090033 B C3-C4', , 'C090033 B C5-C6', , 'C090278 A C3-C4', , 'C090278 A C5-C6', , 'C090278 B C3-C4', , 'C090278 B C5-C6', , 'C090278 B C7-T1', , 'C100923 A C3-C4', , 'C100923 A C5-C6', , 'C100923 A C7-T1', , 'C100923 B C3-C4', , 'C100923 B C5-C6', , 'C100923 B C7-T1', , 'S090253 B C7-T1', , 'UB08L002 A C3-C4', , 'UB08L002 A C7-T1', , 'UB08L002 B C3-C4', , 'UB08L002 B C5-C6', , 'UB08L002 B C7-T1', 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.05, 13.0604875, 0.05, 0.816846224, 0.05, -0.425004179, 0.05, 0.957605908, 0.05, 0.966313327, 0.05, 5.83385582, 0.05, -0.050103158, 0.05, 0.145601602, 0.05, 3.998005379, 0.05, 0.554167731, 0.05, 0.826263507, 0.05, -0.025657594, 0.05, 0.564076362, 0.05, -0.576739, 0.05, -0.077211349, 0.05, -0.290954179, 0.05, 0.850317936, 0.05, 0.46620671, 0.05, 1.018367028, 0.025, 1.062175678, 0.05, 2.551943024, 0.05, 0.735816875, 0.05, 0.163677616, 0.05, -0.177945924, 0.05, 0.727059927
0.1, 24.46135, 0.1, 1.398151765, 0.1, 0.89159628, 0.1, 1.617057068, 0.1, 1.722283808, 0.1, 12.3829786, 0.1, 0.077950104, 0.1, 0.3052713, 0.1, 7.86386507, 0.1, 1.17577301, 0.1, 1.692561729, 0.1, 0.1946619, 0.1, 1.12879699, 0.1, -0.18782699, 0.1, 0.09435484, 0.1, -0.153637129, 0.1, 2.62117514, 0.1, 0.913120954, 0.1, 2.252016003, 0.05, 3.018534501, 0.1, 5.121488685, 0.1, 1.932998559, 0.1, 0.760938046, 0.1, -0.200089678, 0.1, 1.530408861
0.15, 34.451775, 0.15, 1.824009168, 0.15, 3.644288314, 0.15, 2.055716154, 0.15, 2.315777979, 0.15, 19.44466013, 0.15, 0.36954157, 0.15, 0.479578373, 0.15, 11.60554648, 0.15, 1.870572345, 0.15, 2.597975927, 0.15, 0.655207856, 0.15, 1.709777785, 0.15, 0.996260701, 0.15, 0.484134699, 0.15, 0.37482607, 0.15, 5.185419257, 0.15, 1.346219577, 0.15, 3.67840387, 0.075, 5.763811866, 0.15, 7.712168311, 0.15, 3.547776137, 0.15, 1.754979129, 0.15, -0.073473196, 0.15, 2.399482138
0.2, 43.2604, 0.2, 2.163671053, 0.2, 7.56056096, 0.2, 2.341221286, 0.2, 2.79001975, 0.2, 26.8413866, 0.2, 0.810604128, 0.2, 0.6693504, 0.2, 15.23075312, 0.2, 2.64380368, 0.2, 3.541741088, 0.2, 1.3502376, 0.2, 2.321685914, 0.2, 2.82747232, 0.2, 1.064508954, 0.2, 1.259213472, 0.2, 8.42890368, 0.2, 1.770774208, 0.2, 5.276777696, 0.1, 9.200626355, 0.2, 10.32700288, 0.2, 5.538344307, 0.2, 3.110699494, 0.2, 0.195003744, 0.2, 3.325606752
0.25, 51.0953125, 0.25, 2.476403613, 0.25, 12.39912891, 0.25, 2.532205469, 0.25, 3.183831226, 0.25, 34.41911125, 0.25, 1.387677393, 0.25, 0.87565957, 0.25, 18.74692461, 0.25, 3.500199219, 0.25, 4.523238574, 0.25, 2.274016406, 0.25, 2.97825623, 0.25, 5.178657227, 0.25, 1.81062793, 0.25, 2.466159277, 0.25, 12.24972383, 0.25, 2.191851953, 0.25, 7.028103809, 0.125, 13.23911102, 0.25, 12.968521, 0.25, 7.864840796, 0.25, 4.794655786, 0.25, 0.598582813, 0.25, 4.301896582
0.3, 58.14405, 0.3, 2.812308671, 0.3, 17.94815604, 0.3, 2.67899126, 0.3, 3.531867991, 0.3, 42.04558031, 0.3, 2.087958762, 0.3, 1.099809, 0.3, 22.16123667, 0.3, 4.44399825, 0.3, 5.541988767, 0.3, 3.4208175, 0.3, 3.692307701, 0.3, 7.94204343, 0.3, 2.700241216, 0.3, 3.964106853, 0.3, 16.55745342, 0.3, 2.614316082, 0.3, 8.914996929, 0.15, 17.79655287, 0.3, 15.63877688, 0.3, 10.48932466, 0.3, 6.775020319, 0.3, 1.130646426, 0.3, 5.323147623
0.35, 64.5736, 0.35, 3.213114288, 0.35, 24.023479, 0.35, 2.824260666, 0.35, 3.864848886, 0.35, 49.60871219, 0.35, 2.899349926, 0.35, 1.343319042, 0.35, 25.48060113, 0.35, 5.478959973, 0.35, 6.597643714, 0.35, 4.784922056, 0.35, 4.475759829, 0.35, 11.02771513, 0.35, 3.713531989, 0.35, 5.723261747, 0.35, 21.27238075, 0.35, 3.04282672, 0.35, 10.92164931, 0.175, 22.79704057, 0.35, 18.33936832, 0.35, 13.37575344, 0.35, 9.021539162, 0.35, 1.784717041, 0.35, 6.385733213
0.4, 70.5304, 0.4, 3.712933939, 0.4, 30.46683072, 0.4, 3.00370025, 0.4, 4.20978025, 0.4, 57.01503007, 0.4, 3.810498816, 0.4, 1.6079136, 0.4, 28.71166592, 0.4, 6.60837632, 0.4, 7.689979776, 0.4, 6.3606192, 0.4, 5.339649075, 0.4, 14.36209024, 0.4, 4.832956006, 0.4, 7.715544704, 0.4, 26.32474496, 0.4, 3.481841536, 0.4, 13.03375987, 0.2, 28.17112032, 0.4, 21.07145472, 0.4, 16.48995924, 0.4, 11.50549065, 0.4, 2.554456448, 0.4, 7.487499264
0.45, 76.1403375, 0.45, 4.338994243, 0.45, 37.14406399, 0.45, 3.246621472, 0.45, 4.590174646, 0.45, 64.18814755, 0.45, 4.810836996, 0.45, 1.895506439, 0.45, 31.86081508, 0.45, 7.835084786, 0.45, 8.818890272, 0.45, 8.142206006, 0.45, 6.294145288, 0.45, 17.88639795, 0.45, 6.043085252, 0.45, 9.914544684, 0.45, 31.65397232, 0.45, 3.935616436, 0.45, 15.23846334, 0.225, 33.85545996, 0.45, 23.835775, 0.45, 19.79962366, 0.45, 14.19964433, 0.45, 3.433665069, 0.45, 8.627659487
0.5, 81.50875, 0.5, 5.11233125, 0.5, 43.943375, 0.5, 3.57655625, 0.5, 5.026264063, 0.5, 71.06730781, 0.5, 5.8906125, 0.5, 2.2081875, 0.5, 34.93416875, 0.5, 9.16148125, 0.5, 9.984378125, 0.5, 10.1239875, 0.5, 7.348568125, 0.5, 21.55515625, 0.5, 7.33045625, 0.5, 12.29547188, 0.5, 37.2079125, 0.5, 4.40820625, 0.5, 17.52425938, 0.25, 39.79252124, 0.5, 26.63266563, 0.5, 23.27425156, 0.5, 17.07822031, 0.5, 4.41628125, 0.5, 9.806690625
0.55, 86.720425, 0.55, 6.048455288, 0.55, 50.77352688, 0.55, 4.011827741, 0.55, 5.535207594, 0.55, 77.60597586, 0.55, 7.040918116, 0.55, 2.548209211, 0.55, 37.93758318, 0.55, 10.5895328, 0.55, 11.18654851, 0.55, 12.30027666, 0.55, 8.511403475, 0.55, 25.33464945, 0.55, 8.683423043, 0.55, 14.83511071, 0.55, 42.94207484, 0.55, 4.903465423, 0.55, 19.88094172, 0.275, 45.93024035, 0.55, 29.46207859, 0.55, 26.8851438, 0.55, 20.1168491, 0.55, 5.496380557, 0.55, 11.02622768
0.6, 91.8396, 0.6, 7.157984371, 0.6, 57.56207328, 0.6, 4.566096346, 0.6, 6.131293594, 0.6, 83.77048418, 0.6, 8.253715104, 0.6, 2.9179728, 0.6, 40.87665072, 0.6, 12.12079056, 0.6, 12.4256015, 0.6, 14.6653944, 0.6, 9.790319885, 0.6, 29.20140576, 0.6, 10.09201482, 0.6, 17.5117729, 0.6, 48.81886464, 0.6, 5.425048704, 0.6, 22.29952733, 0.3, 52.2217166, 0.6, 32.32359936, 0.6, 30.60536878, 0.6, 23.2925318, 0.6, 6.668175072, 0.6, 12.28895914
0.65, 96.9099625, 0.65, 8.447246162, 0.65, 64.25358188, 0.65, 5.248880942, 0.65, 6.826136311, 0.65, 89.53873158, 0.65, 9.521852371, 0.65, 3.320014608, 0.65, 43.75669983, 0.65, 13.75640251, 0.65, 13.70182472, 0.65, 17.21366961, 0.65, 11.19218498, 0.65, 33.14067478, 0.65, 11.54779823, 0.65, 20.3052504, 0.65, 54.80681941, 0.65, 5.976411839, 0.65, 24.7721855, 0.325, 58.62490927, 0.65, 35.21646491, 0.65, 34.40973288, 0.65, 26.58360076, 0.65, 7.926012686, 0.65, 13.5985222
0.7, 101.95465, 0.7, 9.918848495, 0.7, 70.80785796, 0.7, 6.066055332, 0.7, 7.628866999, 0.7, 94.89893539, 0.7, 10.83908108, 0.7, 3.7569924, 0.7, 46.58279507, 0.7, 15.49712633, 0.7, 15.01558596, 0.7, 19.9394391, 0.7, 12.72308191, 0.7, 37.14490507, 0.7, 13.04374433, 0.7, 23.1967685, 0.7, 60.87984518, 0.7, 6.560812258, 0.7, 27.29216702, 0.35, 65.10234281, 0.7, 38.13958166, 0.7, 38.27474981, 0.7, 29.96968068, 0.7, 9.264376394, 0.7, 14.95939803
0.75, 106.97625, 0.75, 11.57221846, 0.75, 77.19816797, 0.75, 7.020319922, 0.75, 8.546319507, 0.75, 99.84843684, 0.75, 12.2000647, 0.75, 4.23167168, 0.75, 49.35973711, 0.75, 17.34334219, 0.75, 16.36732588, 0.75, 22.83704766, 0.75, 14.38832572, 0.75, 41.21222168, 0.75, 14.5741002, 0.75, 26.16893877, 0.75, 67.01645273, 0.75, 7.181309766, 0.75, 29.8537333, 0.375, 71.62082003, 0.75, 41.09154346, 0.75, 42.17860876, 0.75, 33.43165012, 0.75, 10.67788359, 0.75, 16.37680693
0.8, 111.9568, 0.8, 13.40411003, 0.8, 83.40946304, 0.8, 8.111648614, 0.8, 9.583210342, 0.8, 104.3925598, 0.8, 13.60038451, 0.8, 4.746912, 0.8, 52.09206272, 0.8, 19.2950656, 0.8, 17.75755059, 0.8, 25.900848, 0.8, 16.19247985, 0.8, 45.34490368, 0.8, 16.13426524, 0.8, 29.20571213, 0.8, 73.19899392, 0.8, 7.840767232, 0.8, 32.4520855, 0.4, 78.15114368, 0.8, 44.0706496, 0.8, 46.10114156, 0.8, 36.95160343, 0.8, 12.16128538, 0.8, 17.85660365
0.85, 116.8577875, 0.85, 15.40908028, 0.85, 89.43660256, 0.85, 9.337710935, 0.85, 10.74231322, 0.85, 108.5435228, 0.85, 15.03654056, 0.85, 5.305653277, 0.85, 54.78404478, 0.85, 21.35196024, 0.85, 19.18682436, 0.85, 29.12520081, 0.85, 18.13937248, 0.85, 49.54786171, 0.85, 17.72067214, 0.85, 32.29233183, 0.85, 79.41289791, 0.85, 8.541851282, 0.85, 35.08329369, 0.425, 84.66784609, 0.85, 47.07492277, 0.85, 50.02378853, 0.85, 40.51281313, 0.85, 13.70946582, 0.85, 19.40517253
0.9, 121.62015, 0.9, 17.57993413, 0.9, 95.28257772, 0.9, 10.69426937, 0.9, 12.02462806, 0.9, 112.3194043, 0.9, 16.50594802, 0.9, 5.9109021, 0.9, 57.43969227, 0.9, 23.51335077, 0.9, 20.6557622, 0.9, 32.5044747, 0.9, 20.23211302, 0.9, 53.82711549, 0.9, 19.33067242, 0.9, 35.41528648, 0.9, 85.64590746, 0.9, 9.287032986, 0.9, 37.74422595, 0.45, 91.14892713, 0.9, 50.10212705, 0.9, 53.92956342, 0.9, 44.09969269, 0.9, 15.3174413, 0.9, 21.02932279
0.913, 121.896, 0.95, 19.90813767, 0.95, 100.9567351, 0.95, 12.17555195, 0.95, 13.42954454, 0.95, 115.743161, 0.95, 18.00692903, 0.95, 6.565718048, 0.95, 60.06275028, 0.95, 25.77823566, 0.95, 22.16502258, 0.95, 36.03304626, 0.95, 22.4731085, 0.95, 58.18827141, 0.95, 20.96242679, 0.95, 38.56226308, 0.95, 91.88731523, 0.95, 10.07858855, 0.95, 40.43247753, 0.475, 97.57560026, 0.95, 53.14978586, 0.95, 57.80301707, 0.95, 47.69775981, 0.95, 16.98035975, 0.95, 22.73618374
0.977, 126.987, 1, 22.3842, 1, 106.473, 1, 13.7746, 1, 14.955, 1, 118.8417, 1, 19.5387, 1, 7.2732, 1, 62.6567, 1, 28.1453, 1, 23.7153, 1, 39.7053, 1, 24.86408, 1, 62.635, 1, 22.6148, 1, 41.7221, 1, 98.1272, 1, 10.9186, 1, 43.1463, 0.5, 103.9320469, 1, 56.2152, 1, 61.6302, 1, 51.2936, 1, 18.6935, 1, 24.5331
0.986, 129.905, 1.05, 24.99802372, 1.05, 111.8481004, 1.05, 15.48359121, 1.05, 16.59763194, 1.05, 121.6450037, 1.05, 21.10135428, 1.05, 8.036472445, 1.05, 65.22475873, 1.05, 30.61292837, 1.05, 25.3073177, 1.05, 43.51562841, 1.05, 27.40607907, 1.05, 67.16751353, 1.05, 24.28726048, 1.05, 44.88474004, 1.05, 104.355663, 1.05, 11.80895589, 1.05, 45.88453035, 0.525, 110.2051788, 1.05, 59.29546558, 1.05, 65.3986239, 1.05, 54.87483072, 1.05, 20.45227104, 1.05, 26.42752674
1.05, 126.987, 1.1, 27.73922388, 1.1, 117.0997903, 1.1, 17.29413782, 1.1, 18.35292495, 1.1, 124.1853083, 1.1, 22.69584035, 1.1, 8.8586718, 1.1, 67.76987987, 1.1, 33.17921761, 1.1, 26.94182028, 1.1, 47.4584319, 1.1, 30.09950418, 1.1, 71.78104351, 1.1, 25.9797846, 1.1, 48.04118342, 1.1, 110.5620641, 1.1, 12.75135195, 1.1, 48.64652015, 0.55, 116.3844089, 1.1, 62.38749204, 1.1, 69.09722198, 1.1, 58.43006588, 1.1, 22.25221132, 1.1, 28.42692491
1.134, 129.159, 1.15, 30.59741552, 1.15, 122.2450729, 1.15, 19.19756012, 1.15, 20.2153521, 1.15, 126.4963351, 1.15, 24.32393544, 1.15, 9.742932717, 1.15, 70.29475293, 1.15, 35.84198968, 1.15, 28.61956632, 1.15, 51.52811886, 1.15, 32.9441171, 1.15, 76.46431823, 1.15, 27.69276557, 1.15, 51.18344079, 1.15, 116.7342583, 1.15, 13.74729185, 1.15, 51.43206469, 0.575, 122.4614302, 1.15, 65.48802007, 1.15, 72.71630817, 1.15, 61.94888077, 1.15, 24.08898807, 1.15, 30.53865645
1.251, 129.294, 1.2, 33.56246984, 1.2, 127.298425, 1.2, 21.18513508, 1.2, 22.17851082, 1.2, 128.6125759, 1.2, 25.98821453, 1.2, 10.6923744, 1.2, 72.80180352, 1.2, 38.59880448, 1.2, 30.34132109, 1.2, 55.7191056, 1.2, 35.93905935, 1.2, 81.19804032, 1.2, 29.426927, 1.2, 54.30448627, 1.2, 122.8578317, 1.2, 14.79808781, 1.2, 54.2413321, 0.6, 128.4300029, 1.2, 68.59363968, 1.2, 76.24753528, 1.2, 65.42177745, 1.2, 25.95839654, 1.2, 32.76987955
1.281, 118.707, 1.25, 36.62473877, 1.25, 132.2700195, 1.25, 23.24832031, 1.25, 24.2352533, 1.25, 130.568631, 1.25, 27.69201489, 1.25, 11.71008691, 1.25, 75.29319336, 1.25, 41.44697266, 1.25, 32.10784912, 1.25, 60.02581641, 1.25, 39.08286865, 1.25, 85.95336426, 1.25, 31.18324121, 1.25, 57.39821045, 1.25, 128.9153379, 1.25, 15.90486133, 1.25, 57.07479248, 0.625, 134.2857494, 1.25, 71.70080811, 1.25, 79.68385193, 1.25, 68.84015051, 1.25, 27.85635938, 1.25, 35.12744385
1.349, 111.444, 1.3, 39.77524829, 1.3, 137.16395, 1.3, 25.37895317, 1.3, 26.37781127, 1.3, 132.3986004, 1.3, 29.43939601, 1.3, 12.7991175, 1.3, 77.77082027, 1.3, 44.38356845, 1.3, 33.91990692, 1.3, 64.4426835, 1.3, 42.37349529, 1.3, 90.69037393, 1.3, 32.96285207, 1.3, 60.4593734, 1.3, 134.8855344, 1.3, 17.06854388, 1.3, 59.93314708, 0.65, 140.0259584, 1.3, 74.80586783, 1.3, 83.01945843, 1.3, 72.19625337, 1.3, 29.77892583, 1.3, 37.61778567
1.433, 102.282, 1.35, 43.00586014, 1.35, 141.9764536, 1.35, 27.56942509, 1.35, 28.59791538, 1.35, 134.1355289, 1.35, 31.23509496, 1.35, 13.96245689, 1.35, 80.23631818, 1.35, 47.40544251, 1.35, 35.77823556, 1.35, 68.96414706, 1.35, 45.80831859, 1.35, 95.35656016, 1.35, 34.76700258, 1.35, 63.48355772, 1.35, 140.7426188, 1.35, 18.28987759, 1.35, 62.81725738, 0.675, 145.649396, 1.35, 77.90506453, 1.35, 86.24976154, 1.35, 75.48316485, 1.35, 31.7222711, 1.35, 40.24682328
1.536, 109.815, 1.4, 46.30940223, 1.4, 146.6941347, 1.4, 29.81283119, 1.4, 30.88690895, 1.4, 135.8109043, 1.4, 33.08447722, 1.4, 15.2030256, 1.4, 82.69105712, 1.4, 50.50923472, 1.4, 37.68355338, 1.4, 73.5846552, 1.4, 49.38416332, 1.4, 99.88529824, 1.4, 36.59696714, 1.4, 66.4671215, 1.4, 146.455465, 1.4, 19.56941594, 1.4, 65.72807427, 0.7, 151.156126, 1.4, 80.99456512, 1.4, 89.37132808, 1.4, 78.69475631, 1.4, 33.68269565, 1.4, 43.01985206
1.644, 108.797, 1.45, 49.67976746, 1.45, 151.2921886, 1.45, 32.10309506, 1.45, 33.23585627, 1.45, 137.454208, 1.45, 34.99348296, 1.45, 16.52366028, 1.45, 85.13614323, 1.45, 53.69138702, 1.45, 39.63654857, 1.45, 78.29866401, 1.45, 53.0973161, 1.45, 104.1943255, 1.45, 38.45398838, 1.45, 69.40715141, 1.45, 151.9868594, 1.45, 20.90752441, 1.45, 68.66656716, 0.725, 156.5473379, 1.45, 84.07047566, 1.45, 92.3818374, 1.45, 81.82565917, 1.45, 35.65662443, 1.45, 45.9414398
1.664, 97.056, 1.5, 53.11198125, 1.5, 155.732625, 1.5, 34.43506875, 1.5, 35.63564531, 1.5, 139.0925203, 1.5, 36.96856875, 1.5, 17.9271, 1.5, 87.57241875, 1.5, 56.94815625, 1.5, 41.63787188, 1.5, 83.1006375, 1.5, 56.94354188, 1.5, 108.1842188, 1.5, 40.33921875, 1.5, 72.30141563, 1.5, 157.2927375, 1.5, 22.30438125, 1.5, 71.63365313, 0.75, 161.8251833, 1.5, 87.12885938, 1.5, 95.28003281, 1.5, 84.87123281, 1.5, 37.64060625, 1.5, 49.01532188
1.703, 93.594, 1.55, 56.60223752, 1.55, 159.9624915, 1.55, 36.80460807, 1.55, 38.077085, 1.55, 140.7501779, 1.55, 39.01664471, 1.55, 19.41597255, 1.55, 90.00046203, 1.55, 60.27562694, 1.55, 43.68812921, 1.55, 87.98504766, 1.55, 60.91810029, 1.55, 111.736872, 1.55, 42.25366673, 1.55, 75.14831694, 1.55, 162.3214199, 1.55, 23.7599781, 1.55, 74.63012604, 0.775, 166.9926202, 1.55, 90.16575464, 1.55, 98.06567179, 1.55, 87.82753297, 1.55, 39.63131302, 1.55, 52.24429649
1.742, 95.291, 1.6, 60.14790328, 1.6, 163.9120973, 1.6, 39.208623, 1.6, 40.55099689, 1.6, 142.4484852, 1.6, 41.1450071, 1.6, 20.9927808, 1.6, 92.42058752, 1.6, 63.66972416, 1.6, 45.7878743, 1.6, 92.9463744, 1.6, 65.01576212, 1.6, 114.7139738, 1.6, 44.19814769, 1.6, 77.9468457, 1.6, 167.0128486, 1.6, 25.2741207, 1.6, 77.65658573, 0.8, 172.0532659, 1.6, 93.17719296, 1.6, 100.7394751, 1.6, 90.69128054, 1.6, 41.62553907, 1.6, 55.63011994
1.801, 98.752, 1.65, 63.74749176, 1.65, 167.4932365, 1.65, 41.64510343, 1.65, 43.04830135, 1.65, 144.2054784, 1.65, 43.3612664, 1.65, 22.65988895, 1.65, 94.83284578, 1.65, 67.12622635, 1.65, 47.93760137, 1.65, 97.97910561, 1.65, 69.23082575, 1.61, 115.924, 1.65, 46.17323945, 1.65, 80.69653287, 1.65, 171.2978235, 1.65, 26.84642961, 1.65, 80.71336707, 0.825, 177.0112578, 1.65, 96.15921692, 1.65, 103.303075, 1.65, 93.45983079, 1.65, 43.62020045, 1.65, 59.17340177
1.953, 103.436, 1.7, 67.40060408, 1.7, 170.597412, 1.7, 44.11312002, 1.7, 45.56009822, 1.7, 146.0357435, 1.7, 45.67327073, 1.7, 24.4195089, 1.7, 97.23702347, 1.7, 70.64077813, 1.7, 50.13773771, 1.7, 103.0777371, 1.7, 73.5571335, 1.624, 118.231, 1.7, 48.17924248, 1.7, 83.39740305, 1.7, 175.0972382, 1.7, 28.47634086, 1.7, 83.80046917, 0.85, 181.8711228, 1.7, 99.10789821, 1.7, 105.7589617, 1.7, 96.13114303, 1.7, 45.61233419, 1.7, 62.87350008
1.992, 104.114, 1.75, 71.10783955, 1.75, 173.0940586, 1.75, 46.61280039, 1.75, 48.07774197, 1.75, 147.9502874, 1.75, 48.08902485, 1.75, 26.27368652, 1.75, 99.63264336, 1.75, 74.20890313, 1.75, 52.38863643, 1.75, 108.2367727, 1.75, 77.98808814, 1.624, 119.385, 1.75, 50.21614473, 1.75, 86.04992744, 1.75, 178.3213168, 1.75, 30.16310664, 1.75, 86.91748447, 0.875, 186.637654, 1.75, 102.0193556, 1.75, 108.1104297, 1.75, 98.70375071, 1.75, 47.59909766, 1.75, 66.7284167
2.061, 107.372, 1.8, 74.87067444, 1.752, 174.836, 1.8, 49.14528042, 1.8, 50.59291127, 1.8, 149.9564617, 1.8, 50.61660451, 1.8, 28.224288, 1.8, 102.0189643, 1.8, 77.8260168, 1.8, 54.69056899, 1.8, 113.450724, 1.8, 82.51666929, 1.718, 121.489, 1.8, 52.28359119, 1.8, 88.65497693, 1.8, 180.8688499, 1.8, 31.90579603, 1.8, 90.0635279, 0.9, 191.3157972, 1.8, 104.8897728, 1.8, 110.3615218, 1.8, 101.1767319, 1.8, 49.57776778, 1.8, 70.73469245
2.066, 107.779, 1.85, 78.69130937, 1.816, 176.261, 1.85, 51.71263088, 1.85, 53.09767313, 1.85, 152.0579404, 1.85, 53.26406625, 1.85, 30.27298612, 1.85, 104.3949813, 1.85, 81.48743928, 1.85, 57.04371795, 1.85, 118.7141108, 1.85, 87.13544979, 1.673, 114.023, 1.85, 54.38085808, 1.85, 91.21377505, 1.85, 182.626431, 1.85, 33.70329566, 1.85, 93.23716601, 0.925, 195.9105434, 1.85, 107.7154167, 1.85, 112.5169732, 1.85, 103.5496802, 1.85, 51.54574038, 1.85, 74.88730234
2.13, 109.001, 1.9, 82.57248522, 1.84, 175.99, 1.9, 54.31775922, 1.9, 55.58454142, 1.9, 154.2547508, 1.9, 56.03935267, 1.9, 32.4212466, 1.9, 106.7594255, 1.9, 85.18840817, 1.9, 59.44816955, 1.9, 124.0214607, 1.9, 91.83661221, 1.796, 112.395, 1.9, 56.50683166, 1.9, 93.72785103, 1.855, 184.27, 1.9, 35.55431039, 1.9, 96.4363461, 0.95, 200.4268319, 1.9, 110.4926552, 1.9, 114.5821537, 1.9, 105.8226763, 1.9, 53.5005295, 1.9, 79.17955084
2.184, 109.748, 1.95, 86.51726762, 1.865, 177.008, 1.95, 56.96428656, 1.95, 58.04652996, 1.95, 156.5433576, 1.95, 58.95019315, 1.95, 34.67031439, 1.95, 109.1107639, 1.95, 88.92409139, 1.95, 61.90390637, 1.95, 129.3673093, 1.95, 96.61196521, 1.801, 106.354, 1.95, 58.65999177, 1.95, 96.1989928, 1.835, 185.763, 1.95, 37.45736402, 1.95, 99.65832535, 0.975, 204.8694597, 1.95, 113.217975, 1.95, 116.5630088, 1.95, 107.9962594, 1.95, 55.43976661, 1.95, 83.60296705
2.341, 113.005, 2, 90.5288, , , 2, 59.6564, 2, 60.4772, 2, 158.9168, 2, 62.004, 2, 37.0212, 2, 111.4472, 2, 92.6896, 2, 64.4108, 2, 134.7462, 2, 101.45296, 1.781, 105.404, 2, 60.8384, 2, 98.6292, 1.85, 186.849, 2, 39.4108, 2, 102.8996, 1, 209.243, 2, 115.888, 2, 118.466, 2, 110.0714, 2, 57.3612, 2, 88.1472
2.365, 115.042, 2.05, 94.61002519, , , 2.05, 62.39868006, 2.05, 62.87070227, 2.05, 161.3648826, 2.05, 65.20776003, 2.05, 39.47466579, 2.05, 113.7666731, 2.05, 96.48000101, 2.05, 66.96860365, 2.05, 140.1526844, 2.05, 106.3507067, 1.875, 106.761, 2.05, 63.03969252, 2.05, 101.020637, 1.875, 186.306, 2.05, 41.41278206, 2.05, 106.1558344, 1.025, 213.5517287, 2.05, 118.4995089, 2.05, 120.298044, 2.05, 112.049472, 2.05, 59.262694, 2.05, 92.79991381
2.439, 117.892, 2.1, 98.76337559, , , 2.1, 65.19590338, 2.1, 65.2218134, 2.1, 163.8744191, 2.1, 68.5679216, 2.1, 42.0312123, 2.1, 116.0668587, 2.1, 100.2903302, 2.1, 69.57694483, 2.1, 145.5813219, 2.1, 111.295991, 1.86, 107.236, 2.1, 65.26107757, 2.1, 103.375586, 1.904, 185.627, 2.1, 43.46129495, 2.1, 109.4217903, 1.05, 217.7995593, 2.1, 121.0494534, 2.1, 122.0664503, 2.1, 113.932226, 2.1, 61.14222832, 2.1, 97.54668296
2.434, 119.385, 2.15, 102.9904319, , , 2.15, 68.05282063, 2.15, 67.52596693, 2.15, 166.4295295, 2.15, 72.09027712, 2.15, 44.69106456, 2.15, 118.3451684, 2.15, 104.115605, 2.15, 72.23531797, 2.15, 151.0266799, 2.15, 116.2792901, 1.953, 109.951, 2.15, 67.49933763, 2.15, 105.6963998, 1.914, 186.238, 2.15, 45.55414513, 2.15, 112.6912558, 1.075, 221.9899857, 2.15, 123.5349761, 2.15, 123.7788583, 2.15, 115.7217631, 2.15, 62.99789733, 2.15, 102.3708875
2.488, 121.761, 2.2, 107.2915502, , , 2.2, 70.97390967, 2.2, 69.77927869, 2.2, 169.0119909, 2.2, 75.77984093, 2.2, 47.4541584, 2.2, 120.5987499, 2.2, 107.9508373, 2.2, 74.94307709, 2.2, 156.4833336, 2.2, 121.2907896, 1.953, 111.173, 2.2, 69.75083625, 2.2, 107.9854551, 1.978, 187.596, 2.2, 47.68896141, 2.2, 115.9569745, 1.1, 226.1260332, 2.2, 125.9534285, 2.2, 125.4431727, 2.2, 117.4205082, 2.2, 64.82790934, 2.2, 107.2536084
2.576, 124.476, 2.25, 111.6654583, , , 2.25, 73.96310391, 2.25, 71.97856677, 2.25, 171.6016406, 2.25, 79.64072271, 2.25, 50.32012676, 2.25, 122.8244871, 2.25, 111.7910461, 2.25, 77.69942842, 2.25, 161.9458664, 2.25, 126.3203998, 1.958, 113.141, 2.25, 72.01152949, 2.25, 110.2451054, , , 2.25, 49.8631957, 2.25, 119.2105749, 1.125, 230.210218, 2.25, 128.302389, 2.25, 127.0674982, 2.25, 119.0311851, 2.25, 66.63058594, 2.25, 112.1735224
2.709, 127.055, 2.3, 116.1088195, , , 2.3, 77.02349588, 2.3, 74.12136585, 2.3, 174.1768335, 2.3, 83.67599626, 2.3, 53.288286, 2.3, 125.0189999, 2.3, 115.6312707, 2.3, 80.50342307, 2.3, 167.4088695, 2.3, 131.3577721, 2.041, 114.974, 2.3, 74.27698212, 2.3, 112.477634, , , 2.3, 52.07412368, 2.3, 122.4424992, 1.15, 234.2445149, 2.3, 130.5796808, 2.3, 128.6600731, 2.3, 120.5567907, 2.3, 68.40436123, 2.3, 117.1067977
