12FF, , 13FM, , 14FF, , 15FM, , 18FM, , 19FM, , 20FM, , 22FM, 
0.457686375, 371.5751531, 0.557612582, 434.8761162, 0.232769078, 476.803906, 0.380299297, 441.997787, 0.104407127, 469.0840493, 0.270893949, 404.4888788, 0.063400965, 442.7274853, 0.092203813, 452.2816815
0.482389409, 386.8913366, 0.571499121, 452.2029981, 0.247806717, 496.5467613, 0.403689876, 458.7949475, 0.105204533, 491.1020939, 0.274951622, 420.7217431, 0.061476129, 457.6878441, 0.100086049, 468.6904103
0.505145234, 401.8925753, 0.583333802, 467.2220953, 0.262904058, 514.7863114, 0.423386261, 475.1853224, 0.117431121, 513.5038745, 0.277511213, 435.4520278, 0.064352246, 479.2947478, 0.107996668, 484.2727139
0.529825004, 415.6392045, 0.59825009, 484.2198296, 0.277969122, 528.9298392, 0.447033997, 491.4489622, 0.118314355, 533.0912996, 0.279687893, 451.4424973, 0.067072454, 494.9084958, 0.116549696, 502.6515647
0.552573849, 430.1695769, 0.612800826, 499.6145686, 0.295405976, 544.4304583, 0.470919433, 505.5484881, 0.120411632, 548.0437819, 0.281033824, 470.0739769, 0.07188638, 511.0047399, 0.125953383, 522.6606909
0.578649289, 443.3132789, 0.629476419, 518.6207736, 0.305768336, 561.0471153, 0.494819502, 520.8742554, 0.126839603, 569.2264446, 0.287504153, 486.8287419, 0.071321773, 528.2469413, 0.136861781, 538.8122707
0.607121741, 456.874789, 0.648827412, 535.442566, 0.329499724, 576.329066, 0.520297499, 535.9304512, 0.133700275, 589.2223838, 0.28583243, 501.1802235, 0.075506945, 552.2771909, 0.149407048, 555.0420482
0.634626673, 471.6974545, 0.668223518, 549.1515417, 0.353233857, 591.9594182, 0.552080131, 549.3150185, 0.140110584, 612.5879646, 0.28911211, 522.3075497, 0.07724554, 574.6332391, 0.158410645, 570.5496168
0.662527767, 487.3725117, 0.694148923, 563.0190486, 0.377601538, 606.2715716, 0.583883507, 564.4378597, 0.153829867, 635.7515592, 0.299529938, 546.2326747, 0.078582033, 590.483559, 0.172735918, 587.9814709
0.68695609, 501.6291082, 0.715430358, 578.3325342, 0.405421667, 622.8838561, 0.610967361, 581.564891, 0.156717602, 653.8553361, 0.307619987, 570.2848655, 0.084030611, 602.3644441, 0.189045941, 607.3877502
0.715637321, 514.4903285, 0.74687706, 594.6012509, 0.435893541, 637.4675368, 0.642754347, 595.314254, 0.165488001, 671.2866925, 0.316372231, 589.7786772, 0.086218542, 617.0659128, 0.206145274, 627.1629508
0.745755584, 528.1950084, 0.783087613, 607.0050471, 0.471760111, 651.7852589, 0.676126394, 609.3917833, 0.173179861, 686.1762441, 0.321811842, 605.6936029, 0.086069823, 634.8558521, 0.227539344, 644.7056295
0.776874499, 542.134531, 0.820295873, 614.9499729, 0.509612972, 661.3433761, 0.709495294, 623.2056048, 0.181717987, 707.9572645, 0.331979932, 624.9306866, 0.092686721, 656.7237018, 0.251015616, 661.1573382
0.809281532, 556.4816991, 0.857556841, 619.2580651, 0.547459426, 670.0885564, 0.742892515, 639.3927966, 0.195461923, 726.8661093, 0.34193666, 645.3429383, 0.097169525, 673.3783663, 0.271225512, 675.7272417
0.840420554, 571.7777652, 0.894829711, 622.7449367, 0.585295813, 677.5562644, 0.776278723, 654.6570111, 0.208433005, 751.7710277, 0.355651004, 662.6433749, 0.105148108, 692.6947684, 0.298066508, 689.986308
